Zaloznik,zanr1,zanr2,esbr 
2K,Sim,Sim,E
EA,Action Adventure,Fantasy,E
Digital,Historic,General,T
Team,Strategy,General,T
BudCat,Football,Sim,E
Matrix,Role-Playing,Action RPG,E
Runecraft,Action,General,M
Radical,Alternative,Snowboarding,
TechnoSoft,Action,General,E
Sumo,Arcade,Automobile,E
Playlogic,Shooter,Scrolling,T
Zero,Real-Time,General,
Tamsoft,Third-Person,Arcade,M
Double,2D,2D,T
SCEE,Sim,Sim,E
Minority,General,General,
Zoetrope,3D,First-Person,T
Skybound,3D,Third-Person,M
SCEE,Virtual,Virtual Life,E
A,General,Historic,M
Capcom,Sci-Fi,Mech,T
Insomniac,3D,3D,
Midway,Basketball,Arcade,E
Ubisoft,Dancing,Dancing,
34BigThings,Arcade,Futuristic,E
SMAC,Shooter,Top-Down,
Varkian,Arcade,Futuristic,E
klutzGames,Shooter,Vertical,E
Rocksteady,Fantasy,Open-World,M
Gunfire,Action Adventure,Open-World,M
Climax,Action Adventure,Horror,M
Fictiorama,Adventure,General,
Relic,Sci-Fi,Arcade,M
Rainbow,Simulation,Automobile,E
Sega,Individual,Athletics,E
Crystal,General,Modern,T
Himalaya,Adventure,General,
Omega,Action,3D,T
Konami,General,Fantasy,
Sumo,Arcade,Automobile,E
Office,Virtual,Career,E
SCE,Matching,General,E
AtomTeam,Role-Playing,Western-Style,
Tecmo,Alternative,Horse Racing,E
K2,Action Adventure,Fantasy,M
Heavy,Platformer,3D,E
3DO,Sim,Sim,E
Konami,Shooter,Scrolling,E
Funcom,Motorcycle,Motocross,T
Cing,General,General,T
Frontier,General,General,
Colossal,General,General,E
Gust,Role-Playing,General,
Genius,General,Application,
Konami,Driving,Racing,E
The,General,Action RPG,
Bugbear,Driving,Demolition Derby,T
Pieces,General,General,
Prope,Party,Party,E
Dragon,Adventure,General,
Moondrop,Platformer,2D,E
No,Action Adventure,General,
Nintendo,Action,2D,
Bullets,Action,3D,T
Arkedo,2D,2D,T
Insomniac,Action Adventure,Open-World,T
Io,Action Adventure,General,
Global,Action RPG,Action RPG,
TT,Music,Music,
Splash,Sci-Fi,Arcade,T
Badland,Action,General,T
Compile,Role-Playing,Japanese-Style,T
TT,Action Adventure,General,
House,3D,Third-Person,M
EA,Simulation,Automobile,
Kush,Baseball,Sim,E
Frontier,General,General,
TheMeatly,3D,First-Person,T
Shortbreak,Action,Arcade,
Saber,First-Person,Tactical,M
Red,Tactical,Modern,M
Prideful,Action Adventure,Open-World,
The,Virtual,Virtual Life,T
Luxoflux,Platformer,3D,E
Hudson,Third-Person,Fantasy,E
Selective,Action,General,
Pivotal,Third-Person,Modern,T
Electronic,Racing,Formula One,E
Raylight,Sci-Fi,Small Spaceship,T
Iridon,Puzzle,General,E
Rockstar,Driving,Racing,E
Zoink,Action,General,E
Artificial,2D,3D,M
XR,Puzzle,Action,E
Next,Adventure,General,
Tin,Role-Playing,Western-Style,
Ubisoft,General,Linear,E
Clap,Traditional,Tennis,E
Omega,Action,3D,T
TT,Action Adventure,General,
Koei,Turn-Based,General,T
Hitbox,Platformer,2D,
Pseudo,Vehicle,Combat,T
Obsidian,First-Person,Western-Style,M
Toys,Platformer,3D,
Pixelated,Turn-Based,Tactics,T
HB,Golf,Sim,E
Snap,Sci-Fi,General,
Visual,Sim,Sim,
Tomasz,Turn-Based,General,
Electronic,Other,Kart,E
Owlchemy,Simulation,General,M
Exient,Sim,Sim,E
Blit,3D,3D,T
NanaOn,Horror,Survival,
Shin,Third-Person,3D,E
Vanguard,Top-Down,Vertical,T
Omega,Action,3D,T
Taito,General,General,
Ubisoft,Flight,Combat,T
Neversoft,Music,Music,T
Maxis,Miscellaneous,Virtual Life,T
Sidhe,Mission-based,Automobile,E
Milestone,Arcade,Automobile,E
High,Turn-Based,Tactics,M
Ludic,Action,2D,M
Lab42,Individual,Billiards,E
Spacewave,Shooter,Vertical,
Bandai,Fighting,3D,T
Space,Platformer,2D,
Snowhound,Role-Playing,Japanese-Style,
Kadokawa,Turn-Based,Tactics,T
Vladimir,Adventure,General,
Over,Action Adventure,General,T
Bandai,Miscellaneous,Compilation,T
Game,Action,Arcade,E
Telltale,,,T
Kylotonn,Simulation,Automobile,E
CremaGames,First-Person,Arcade,
PaperSeven,Adventure,General,
nDreams,Miscellaneous,General,T
Level,Role-Playing,Trainer,
Techland,Miscellaneous,Compilation,M
Artifex,Hidden Object,General,T
Cyanide,Football,Arcade,T
RideonJapan,Turn-Based,Tactics,
M2H,Tactical,Arcade,
Kalypso,Strategy,General,T
Nintendo,Platformer,2D,E
Psyche,Scrolling,Vertical,
Abstraction,First-Person,Sci-Fi,M
Spry,Puzzle,General,E
Level,Soccer,Arcade,
Irrational,Sci-Fi,Arcade,M
Mercury,General,Fantasy,M
WayForward,2D,2D,E
Namco,3D,3D,T
Rebellion,Sci-Fi,Arcade,T
Monster,Motocross,Motocross,E
Firebrand,Simulation,Automobile,
Kush,Sim,Sim,E
Koei,Real-Time,Historic,T
Bandai,3D,3D,T
Amaze,Action Adventure,Historic,
Krome,Platformer,3D,E
Vicarious,Racing,Kart,E
Ubisoft,Action Adventure,Fantasy,T
Blitz,Miscellaneous,Party,E
Heuristic,General,General,M
Grasshopper,Action,General,M
High,General,General,T
Electronic,Skateboarding,Skateboarding,E
Fishlabs,Action Adventure,Open-World,M
Yuke,Puzzle,General,E
Creative,Real-Time,General,T
Nintendo,Platformer,2D,E
Muzzy,Historic,General,E
Ubisoft,Sports,Individual,T
Ubisoft,Rhythm,Dancing,
Electronic,Strategy,General,
Paon,Platformer,2D,E
Gameloft,Puzzle,Action,E
Ganbarion,Fighting,3D,T
Ubisoft,Action Adventure,Open-World,M
Nyamyam,Adventure,General,E
Nixxes,General,Fantasy,M
EA,Virtual,Virtual Life,E
Krome,Third-Person,Arcade,T
Guerrilla,First-Person,Sci-Fi,M
Rebellion,Action,General,
Size,Platformer,3D,
Rebellion,Historic,Historic,M
Omega,Action,3D,T
Bandai,Rhythm,Music,
Frogwares,Puzzle,Action,M
n,Modern,Arcade,T
Experience,Role-Playing,General,T
Blitz,Music,Music,E
Image,Fantasy,Tactics,T
Naps,,,T
,,,
Phoenix,General,General,
State,Adventure,General,
Dark,Vehicle,Combat,
Electronic,General,Fantasy,
Laughing,Puzzle,General,E
Kylotonn,Simulation,Automobile,E
Robot,Adventure,General,
Long,Platformer,2D,
Tamsoft,Action,General,M
ACE,Fantasy,Linear,T
StarWraith,Small Spaceship,Combat,
Creative,Compilation,2D,E
Ascaron,Action RPG,Action RPG,M
Magenta,,,E
Double,General,Fantasy,
Edge,Platformer,3D,E
Bits,Miscellaneous,Compilation,E
Legacy,Modern,Modern,T
Criterion,Alternative,Futuristic,T
Ubisoft,Action Adventure,Sci-Fi,T
The,General,Command,T
Pandemic,General,Military,M
ShadowRage,Static,Top-Down,E
Le,Action,2D,
11,Virtual,Career,
EA,Individual,Combat,T
Positech,General,General,
SCEE,Music,Music,T
11,Sci-Fi,Defense,
SNK,Miscellaneous,Compilation,T
Vicarious,General,General,E
Ubisoft,Tactical,Modern,M
Hijinx,Compilation,Compilation,M
DONTNOD,Sci-Fi,General,M
Lazy,Action Adventure,Open-World,
Quantic,Third-Person,Modern,M
Yuke,Combat,Wrestling,T
Radical,Action,General,
Tribute,Vertical,Horizontal,T
Team,Wargame,Artillery,
Next,Board Games,Board Games,E
Rainbow,Driving,Mission-based,E
Outsider,,,
Arcade,WWII,Combat,T
Electronic,Virtual,Virtual Life,E
Ubisoft,WWII,Combat,T
EA,Football,Arcade,E
Nixxes,Horror,Survival,M
Konami,Rhythm,Dancing,
Big,Adventure,General,
Examu,Fighting,2D,T
Treyarch,Modern,Arcade,M
RED,General,General,E
Grasshopper,Shooter,Horizontal,M
Eden,General,Japanese-Style,
Treyarch,Historic,Arcade,M
Spicy,Horror,Survival,M
Telltale,,,M
CyberConnect2,3D,3D,T
iNK,Adventure,General,M
Omega,Action,3D,T
tinyBuild,General,Linear,T
Dark,Horror,Survival,M
Sony,Sci-Fi,Sci-Fi,
Telltale,Puzzle,General,
Telltale,3D,Third-Person,T
Climax,2D,2D,
Gust,General,Fantasy,
Activision,Tactical,Modern,
Acquire,General,Historic,M
SNK,Vertical,Horizontal,T
Level,Soccer,Arcade,
Locomotive,Mission-based,Automobile,E
Grasshopper,Action Adventure,Modern,M
Acclaim,Platformer,3D,T
Midway,Platformer,3D,T
Avalanche,Football,Sim,E
Fury,Turn-Based,General,
Game,Role-Playing,Japanese-Style,T
Wow,Puzzle,Matching,E
Innerloop,Tactical,Modern,M
Image,Formula One,Automobile,E
Game,General,General,T
Omega,Turn-Based,Tactics,T
Telltale,General,Adventure,
Little,Sci-Fi,General,
SCEE,Rhythm,Music,T
Hijinx,Turn-Based,Tactics,T
DONTNOD,General,Action RPG,M
Ubisoft,Flight,Combat,T
Outerloop,Action Adventure,General,
Shin,2D,2D,E
iNiS,Music,Music,T
Supermassive,Action Adventure,Survival,M
Monumental,Street,Street,E
Digital,2D,2D,M
Daedalic,General,General,E
EA,Sim,Sim,E
Capy,General,General,T
Kaos,Modern,Arcade,M
Game,Action Adventure,General,
Secret,Tactical,Modern,T
Sumo,Tennis,Tennis,E
TimeGate,Sci-Fi,Arcade,T
Aspyr,Tennis,Tennis,E
SideQuest,General,Tactics,
Zoink,Action,General,E
Daedalic,General,Open-World,
Blazing,Shooter,Top-Down,
Dead,Action,General,
Iridium,Music,Music,
Now,Arcade,Arcade,E
Activision,Platformer,3D,E
Flying,Fantasy,Arcade,M
Square,Role-Playing,Japanese-Style,T
SideQuest,Turn-Based,Tactics,
Mercury,General,Fantasy,M
EA,Historic,Open-World,M
Monte,Modern,Government,E
Kite,Real-Time,General,T
Neverland,Role-Playing,Action RPG,E
High,,,M
Rainbow,Alternative,Biking,T
Traveller,Platformer,3D,E
Zener,,,T
Konami,Golf,Sim,E
Buka,Futuristic Jet,Combat,E
Infogrames,General,Action RPG,T
Volition,Third-Person,Arcade,M
Sega,Role-Playing,Action RPG,T
8bit,2D,2D,E
Maxis,Virtual,Virtual Life,T
Monolith,Fantasy,Tactics,T
Capcom,Sci-Fi,Arcade,T
Juggler,Platformer,2D,
Ubisoft,Historic,Open-World,M
Square,Role-Playing,Japanese-Style,M
Farsight,Parlor,Pinball,E
Neversoft,Music,Music,T
Xpec,3D,3D,
Artificial,Modern,Arcade,M
Telltale,3D,Third-Person,T
EA,First-Person,Tactical,T
Cadenza,First-Person,Arcade,
Santa,General,Modern,T
Frontier,Strategy,General,
Kheops,General,General,
Midway,Compilation,Compilation,M
THQ,Miscellaneous,General,E
Pandemic,Modern,Open-World,T
Capcom,Action Adventure,Survival,M
Saber,Sci-Fi,Arcade,M
Ubisoft,General,Fantasy,T
Infinity,Modern,Arcade,M
Her,General,General,E
Big,Adventure,General,
Ubisoft,Arcade,Arcade,E
Digital,Modern,Arcade,M
House,General,General,T
DONTNOD,General,Action RPG,M
Sumo,Tennis,Tennis,E
WeirdBeard,Puzzle,Stacking,E
Pasta,Action,Arcade,E
Eurocom,General,Fantasy,
Paradox,General,Historic,T
Neko,Logic,Logic,T
Might,2D,2D,
Traveller,General,Historic,
SideQuest,General,Tactics,
Mediascape,General,Roguelike,T
Namco,Puzzle,General,E
Frontier,Action Adventure,Modern,E
Double,Action Adventure,General,T
Telltale,Adventure,General,M
Red,General,General,
EA,Sim,Sim,E
Immersion,Sci-Fi,Arcade,T
Nintendo,Puzzle,General,E
Shaba,,,
Sega,Driving,Racing,E
Avalanche,Football,Sim,E
Acclaim,First-Person,Sci-Fi,M
Reflexive,General,General,T
DMA,Action Adventure,Modern,T
Dimps,3D,3D,T
Infinite,Puzzle,General,E
Nintendo,Action,General,
Vivarium,General,General,E
Over,Action Adventure,General,T
Ninja,General,Modern,T
Ubisoft,Modern,Modern,
Team,Third-Person,Modern,M
Universomo,Music,Music,E
SNK,Compilation,2D,T
Obsidian,First-Person,Western-Style,M
JGI,3D,3D,M
Kaos,Modern,Arcade,M
Aksys,Strategy,Management,
Gust,,,T
Sony,Tactical,Modern,T
Armature,Shooter,Top-Down,E
Paradox,Real-Time,General,T
Eiconic,Logic,Logic,E
Sumo,Traditional,Tennis,
Nival,General,Fantasy,T
Skip,Puzzle,General,E
Eden,General,Automobile,T
Digital,First-Person,Sci-Fi,M
Yager,Action Adventure,Sci-Fi,T
Gaijin,Helicopter,Combat,T
NetDevil,Fantasy,Fantasy,
Nintendo,Compilation,Compilation,E
Capcom,Compilation,Compilation,M
Sarbakan,,,T
Genius,Puzzle,Matching,E
Koei,Strategy,General,M
EA,Individual,Combat,T
Ubisoft,Action Adventure,Open-World,E
Electronic,Board Games,Board Games,E
InXile,Third-Person,Western-Style,T
Spicy,Horror,Survival,M
Square,,,
GlyphX,Sci-Fi,General,T
EA,Sim,Sim,E
Reality,General,Action RPG,M
Activision,Music,Music,
Wish,,,T
Madruga,Management,Government,
Team,Shooter,Top-Down,
Denby,Adventure,General,
Konami,Action,2D,
Konami,Arcade,Arcade,E
Ritual,Modern,Modern,T
The,Historic,General,T
Climax,Driving,Racing,E
Krome,Platformer,3D,E
Hitmaker,Shooter,Light Gun,T
Midway,Traditional,Boxing,T
Intelligent,Turn-Based,Tactics,T
Sumo,Formula One,Automobile,E
CCP,Sci-Fi,Sci-Fi,T
Volition,Third-Person,Modern,M
Dimps,Turn-Based,Card Battle,T
Zachtronics,General,General,T
Rebellion,Sci-Fi,Arcade,T
Robotality,Turn-Based,Tactics,
Radiation,First-Person,Arcade,M
Laughing,Shooter,Top-Down,E
Supermassive,Action Adventure,Survival,M
Uppercut,Action Adventure,General,
Playbrains,General,Modern,T
Kheops,General,General,
Team,Turn-Based,Fantasy,T
Team,Strategy,General,T
Spike,Role-Playing,Roguelike,E
Deco,3D,First-Person,E
Media,,,T
Hudson,Rhythm,Dancing,E
Clapfoot,Third-Person,Arcade,T
Act,3D,First-Person,
Fall,Music,Music,E
HAL,Action RPG,Action RPG,E
Artificial,Action Adventure,Horror,E
Neverland,Role-Playing,Action RPG,T
BattleGoat,Turn-Based,General,
Logic,Action Adventure,General,
Eighting,Application,General,E
Sidhe,Futuristic,Drag,E
Racjin,Role-Playing,Action RPG,
Ice,Virtual,Career,E
M2,Scrolling,Horizontal,E
Skydance,First-Person,Arcade,T
Million,Action,2D,
MachineGames,First-Person,Arcade,M
Her,General,General,E
Disney,Arcade,Automobile,
Square,Arcade,Arcade,E
Square,Role-Playing,Roguelike,
Borealys,Action Adventure,General,
Bishop,Platformer,2D,
inkle,Action,General,
Cyanide,Sci-Fi,General,M
Novarama,General,Card Battle,
Housemarque,Static,Top-Down,E
Edge,Platformer,3D,E
Techland,Sci-Fi,Arcade,M
Climax,Driving,Racing,E
Akella,General,Historic,E
Core,Action Adventure,Fantasy,E
Paradigm,Motorcycle,Motocross,E
Hudson,Puzzle,Action,E
Telltale,Adventure,General,M
Warhorse,General,Action RPG,M
Knut,First-Person,Fantasy,E
Konami,Third-Person,Modern,
Pandemic,Real-Time,Military,M
Skybound,3D,Third-Person,
Causal,Platformer,2D,E
CCP,Space,Combat,
Sundae,Virtual,Career,
Breakfall,Fighting,2D,
Oxide,Real-Time,General,
Camelot,Tennis,Tennis,E
Eidos,General,Fantasy,M
Terminal,Action Adventure,Sci-Fi,T
Artificial,General,General,E
Insomniac,Action Adventure,General,E
Microsoft,Real-Time,Command,T
Gust,Role-Playing,General,
Acquire,General,General,T
Gearbox,First-Person,Arcade,T
Shifting,3D,First-Person,E
IO,Miscellaneous,Compilation,M
StellarVR,Real-Time,General,
ACE,Fantasy,Linear,T
Sproing,Historic,Tactics,
Rainbow,Arcade,Automobile,E
Reflections,Driving,Mission-based,M
Culture,Platformer,2D,E
Webfoot,,,
Success,General,Fantasy,
ChunSoft,General,Roguelike,E
Hitmaker,Driving,Mission-based,T
EA,General,Fantasy,
Bandai,Role-Playing,Action RPG,T
Sloclap,Role-Playing,Action RPG,T
Brownie,General,Japanese-Style,E
Milestone,Simulation,Automobile,E
Shift,Role-Playing,Action RPG,T
Krome,Platformer,3D,E
Silver,WWI,Combat,T
JoWooD,General,General,T
Codemasters,Racing,Formula One,E
Red,Action Adventure,Modern,T
Hypnotix,Golf,Arcade,T
Deep,Tycoon,Management,T
Acclaim,Racing,Arcade,T
Frog,General,General,E
Fireglow,General,General,E
Paradigm,Platformer,3D,E
Criterion,Sci-Fi,Futuristic Sub,T
989,Football,Sim,E
Team,Horror,Survival,T
Tribute,Shooter,Horizontal,T
Total,3D,First-Person,
Strayllight,Real-Time,General,
Tuque,Shooter,Top-Down,T
Artifex,Hidden Object,General,
Tequila,Platformer,2D,M
Halfbrick,Action,Arcade,E
Positech,General,General,
Left,Gambling,Gambling,T
TT,General,Fantasy,
Rockstar,General,Modern,M
Revolution,Adventure,General,T
Now,Puzzle,General,E
TimeGate,Sci-Fi,Arcade,T
Backbone,Arcade,Arcade,E
Lionhead,General,Fantasy,T
Starfire,Static,Top-Down,T
Aki,Modern,Government,E
Sileni,Strategy,General,
Ubisoft,Action Adventure,Open-World,M
Bloober,Action Adventure,Survival,M
Ovosonico,Platformer,2D,E
Pieces,Action Adventure,General,T
Konami,Virtual,Virtual Life,
From,General,Japanese-Style,T
Nippon,Action,General,
Digerati,Platformer,2D,E
Harmonix,Rhythm,Music,T
Griptonite,Action Adventure,Fantasy,E
Acclaim,Linear,2D,M
Krome,Platformer,3D,E
Konami,Motorcycle,Motocross,E
Terminal,Simulation,Automobile,E
Titus,Platformer,2D,E
Black,Racing,Stock Car,E
Studio,Driving,Demolition Derby,E
WARP,Action Adventure,Horror,M
Sandlot,Sci-Fi,Arcade,T
Seed,General,Fantasy,
Pandemic,Sci-Fi,Arcade,T
Kerberos,Action RPG,Roguelike,T
Ganbarion,Fighting,3D,T
Reflections,Driving,Mission-based,M
Koei,Strategy,General,M
Black,Simulation,Automobile,T
Claeys,Modern,Arcade,T
Felistella,General,Japanese-Style,T
Adventure,Scrolling,Vertical,T
Terrible,First-Person,Arcade,
EA,Sim,Sim,E
Painted,Action Adventure,Survival,M
HB,Golf,Arcade,E
Electronic,Management,Government,E
Nintendo,Puzzle,Stacking,E
Daedalic,General,Open-World,
Lazy,Action Adventure,Open-World,
Artificial,Modern,Arcade,M
Weappy,Turn-Based,Tactics,
Question,Action Adventure,Survival,M
Pill,Shooter,Top-Down,
id,First-Person,Arcade,M
,Action,2D,
Marvelous,General,Management,E
Climax,Shooter,Top-Down,
Frogmind,Arcade,Linear,E
High,Sci-Fi,Arcade,T
Flavourworks,3D,Third-Person,M
Visual,Sim,Sim,
Foregone,First-Person,Arcade,
Virtual,Arcade,Arcade,
Griptonite,General,Historic,T
Mark,2D,2D,T
Electronic,Other,Other,E
High,Platformer,3D,T
4X,Historic,Arcade,M
Konami,Platformer,2D,T
Innerloop,Alternative,Other,E
SCEA,General,General,
EA,Action Adventure,General,T
Square,Role-Playing,Action RPG,M
BioWare,Role-Playing,Western-Style,M
Namco,Rhythm,Music,T
EA,Stock Car,Automobile,E
Marvelous,Action,3D,T
10tons,Shooter,Top-Down,T
ApolloSoft,Role-Playing,Action RPG,T
Nintendo,,,E
Toys,Skateboarding,Skateboarding,
Shaba,2D,3D,
Kevin,Third-Person,Modern,
Paradox,Fantasy,General,
Team,3D,3D,M
Splendy,,,T
Midway,,,
Neversoft,Skateboarding,Skateboarding,T
Beenox,Sci-Fi,General,
High,Static,Top-Down,E
SCEA,Sim,Sim,E
PlatinumGames,Space,Combat,
Abstraction,Miscellaneous,Compilation,M
WayForward,Third-Person,Fantasy,T
Omega,Compilation,3D,T
Edge,Platformer,3D,E
Banpresto,Role-Playing,Japanese-Style,T
SNK,Miscellaneous,Compilation,T
Griptonite,2D,2D,T
Paon,Role-Playing,Japanese-Style,
Sega,3D,3D,E
Midway,Basketball,Arcade,E
Frontier,Strategy,Management,T
Midway,Arcade,Arcade,M
SNK,Fighting,3D,T
Toxic,Logic,Logic,
Yuke,Third-Person,Arcade,T
Artificial,Light Gun,Light Gun,T
InXile,Adventure,General,T
Pixel,Shooter,Horizontal,E
Ubisoft,,,E
The,Platformer,2D,E
Big,3D,First-Person,
tinyBuild,Platformer,3D,E
Honeyslug,Puzzle,General,
Codemasters,Arcade,Automobile,E
Human,Action,General,
Piranha,Role-Playing,General,M
Techland,Arcade,Automobile,
Action,Sci-Fi,Arcade,T
Funatics,Military,Tactics,T
Konami,Shooter,Rail,M
High,Platformer,3D,T
Traveller,Platformer,3D,T
7,Third-Person,Sci-Fi,T
Ratbag,Simulation,Automobile,E
Codemasters,Modern,Arcade,M
TT,General,Open-World,
Games,Role-Playing,Action RPG,M
EA,General,General,T
Eden,Horror,Survival,M
Sonic,3D,3D,E
EA,Basketball,Sim,E
Runtime,,,
Irem,Sci-Fi,General,
Tokyo,Role-Playing,Japanese-Style,
Brownie,General,Tactics,E
Cyanide,Action RPG,Western-Style,RP
Stormfront,2D,3D,T
Double,Action Adventure,Modern,M
Double,General,Modern,M
Black,Real-Time,Tactics,
GRIN,Sci-Fi,Sci-Fi,M
Backbone,Scrolling,Vertical,
Oxeye,2D,2D,
SCE,Action Adventure,Linear,
Housemarque,Arcade,Arcade,E
Tokyo,Role-Playing,Japanese-Style,
Electronic,Soccer,Sim,E
Monumental,Street,Street,E
Konami,Soccer,Sim,E
Massive,Tactical,Arcade,
Success,First-Person,Western-Style,
Rare,Role-Playing,Massively Multiplayer,T
Dan,3D,First-Person,T
Coffee,Action Adventure,General,
State,Puzzle,General,
Facepunch,Action Adventure,Survival,
Telltale,,,M
Argonaut,First-Person,Modern,M
Midway,Racing,Kart,T
Radical,,,T
Microsoft,WWII,Combat,E
Rage,Modern Jet,Combat,E
Capcom,Platformer,2D,E
Treasure,Action,General,E
Chainsawesome,First-Person,Tactical,
Zen,Team,Futuristic,
Supermassive,Puzzle,Stacking,E
SCEE,,,
JC,Arcade,Arcade,E
Griptonite,3D,3D,T
White,3D,First-Person,T
Blackmill,General,Tactical,
Boneloaf,Miscellaneous,General,
Sandlot,Sci-Fi,Arcade,M
Toxic,First-Person,Arcade,T
Sports,Management,Management,E
Cyanide,Fantasy,General,
Toys,Platformer,3D,
Hothead,General,General,T
Capcom,Horror,Survival,M
Stainless,Card Battle,Card Battle,T
Croteam,Sci-Fi,Arcade,M
Nintendo,Action,General,E
Take,Sim,Sim,
Wargaming,Historic,Tactics,T
Team,Fighting,3D,M
Mediatonic,Action,2D,
PopCap,Matching,Matching,E
Ubisoft,Simulation,Automobile,T
NinjaBee,General,General,E
NinjaBee,General,General,
EA,Simulation,Automobile,
Omega,Action,3D,T
EA,3D,3D,M
Digital,Sci-Fi,Arcade,M
Avalanche,General,Open-World,M
Daedalic,Strategy,General,
Artificial,Platformer,3D,E
M2,Compilation,Compilation,T
SCEI,Card Battle,Card Battle,
Electronic,Action Adventure,Fantasy,
Nintendo,Platformer,2D,
Ubisoft,3D,3D,
Pixel,First-Person,Arcade,
Connor,Platformer,2D,
Telltale,Gambling,Gambling,M
SCE,Action Adventure,Horror,T
Mediatonic,Action,2D,
Vivid,Boxing,Combat,T
Matrix,Role-Playing,Japanese-Style,E
Tecmo,Alternative,Horse Racing,E
Square,General,Japanese-Style,T
EA,Simulation,Automobile,E
Climax,First-Person,Sci-Fi,T
Tokyo,Role-Playing,Action RPG,T
Perfect,Fantasy,Fantasy,
iNiS,Music Maker,Music,T
Avalanche,Third-Person,Fantasy,
Hudson,Miscellaneous,Party,E
Argonaut,Tactical,Modern,M
Electronic,Alternative,Other,E
Heavy,Platformer,3D,E
Invictus,Simulation,Automobile,E
Rockstar,,,T
id,Sci-Fi,Arcade,M
Revolution,Modern,Modern,T
Mystic,General,General,
Prope,2D,2D,E
Ubisoft,Flight,WWII,T
Frontier,Strategy,General,
Propaganda,Sci-Fi,Arcade,M
Capcom,Action Adventure,Survival,M
Juggler,Platformer,2D,
Maximum,Virtual,Career,E
Ubisoft,Horror,Survival,M
Nihilistic,General,Fantasy,M
2K,Sci-Fi,Arcade,M
Wargaming,Historic,Historic,T
Shiny,Action Adventure,Sci-Fi,T
Alfa,Action RPG,Action RPG,T
Legacy,General,General,T
Omega,Action,3D,T
From,Sci-Fi,Mech,T
FuRyu,General,Action RPG,T
Sega,Soccer,Management,E
Twice,Strategy,Management,
Bonus,Platformer,2D,
Librage,Action,General,
Namco,Arcade,Arcade,E
Nerve,Sci-Fi,Arcade,T
EA,Football,Management,E
Nintendo,Miscellaneous,Edutainment,E
Mistic,Miscellaneous,Card Battle,E
TT,Action Adventure,Sandbox,
Telltale,Adventure,General,M
Digital,Third-Person,Arcade,M
id,Sci-Fi,Arcade,M
TT,General,Fantasy,
Konami,Dancing,Dancing,
Undead,Action Adventure,Open-World,M
Most,Scrolling,Vertical,M
Konami,3D,3D,E
Exakt,Historic,Arcade,T
Inti,Role-Playing,Action RPG,T
Digerati,Platformer,2D,M
Tri,Role-Playing,Japanese-Style,T
Artificial,Platformer,3D,E
Young,Third-Person,Modern,
n,General,Action RPG,T
Deck,Platformer,2D,E
Bandai,3D,3D,
Vicarious,Racing,Kart,E
SunSoft,Action Adventure,Horror,M
Electronic,Fantasy,Fantasy,T
Criterion,Arcade,Car Combat,
Humanature,Action,General,E
Konami,Horror,Compilation,M
Capcom,Action Adventure,Survival,M
Monolith,Sci-Fi,Sci-Fi,T
Climax,General,Linear,T
EA,Historic,Arcade,T
Shaba,Alternative,Skateboarding,T
MakinGames,Action,2D,T
Sassybot,Adventure,Visual Novel,
Telltale,Adventure,General,M
Dissident,Fighting,2D,
Xaviant,Linear,Western-Style,
TT,General,Fantasy,
Press,2D,2D,E
Radical,General,General,
EA,Action Adventure,Modern,T
Sumo,Action,General,E
Zen,Pinball,Pinball,E
Etranges,General,Fantasy,
Telltale,,,
Game,Action Adventure,General,
Nintendo,Action,General,
Nihilistic,General,Fantasy,M
Daedalic,3D,Third-Person,M
Studio,Survival,Sandbox,T
Caged,Arcade,Automobile,
Square,Role-Playing,Japanese-Style,T
Sega,Tennis,Tennis,E
Kiro,Role-Playing,Action RPG,
Bethesda,Role-Playing,Western-Style,M
Destineer,Tactical,Modern,T
Radical,Driving,Car Combat,
Three,Arcade,Automobile,
Pyro,General,Historic,T
Indies,Miscellaneous,General,E
Electronic,Sim,Sim,E
Bright,Management,Management,E
Gunfire,Action Adventure,Open-World,M
Dimps,Fighting,3D,T
Team,Fighting,3D,M
Reptile,General,General,
Novaleaf,Action,General,E
SCEE,Rhythm,Music,
Namco,Street,Street,E
Climax,First-Person,Sci-Fi,M
Double,Turn-Based,Fantasy,T
Blue,Strategy,Tycoon,T
SmartDog,Racing,Futuristic,E
GameLab,Puzzle,General,E
Visual,Sim,Sim,E
Wargaming,Sci-Fi,General,T
Omega,,,T
Novarama,Turn-Based,Card Battle,
Kheops,Puzzle,General,E
Black,General,Fantasy,T
Deep,Space,Combat,T
5pb,Turn-Based,Tactics,M
Io,Compilation,Compilation,M
Treyarch,Modern,Arcade,M
Samurai,Tactical,Arcade,
Black,2D,2D,E
Starbreeze,First-Person,Arcade,M
Loose,General,General,
Fictiorama,,,M
Beenox,General,Open-World,T
GSC,Historic,Command,T
Supergonk,Arcade,Futuristic,
Vision,,,E
Grasshopper,Scrolling,Vertical,T
Sonic,2D,2D,E
Jo,3D,Third-Person,T
Gameloft,2D,2D,
Might,General,General,
Bizarre,Music,Music,E
BrezzaSoft,Shooter,Scrolling,T
Capcom,Fighting,2D,T
Haggard,General,Modern,M
Krome,Platformer,3D,
Valuewave,,,E
Monte,Modern,Government,E
Yuke,Combat,Wrestling,T
Milestone,Arcade,Automobile,E
Giants,Virtual,Career,E
Petroglyph,Real-Time,Command,
Fatshark,General,MOBA,
Wonderstruck,Adventure,General,
Benjamin,General,Horror,
