Zaloznik,zanr1,zanr2,esbr
Guerrilla,Sci-Fi,Arcade,M
BioWare,Role-Playing,Western-Style,T
Rocksteady,General,Fantasy,T
KCET,Platformer,2D,T
Monolith,Modern,Arcade,M
PLAYDEAD,Platformer,2D,M
Crystal,Action Adventure,Horror,T
BioWare,Role-Playing,Western-Style,M
Camelot,,,E
Ubisoft,2D,2D,
Klei,2D,2D,M
KCET,Soccer,Sim,E
Image,Turn-Based,General,
Nintendo,Action RPG,Open-World,E
PlatinumGames,Role-Playing,Action RPG,M
Capcom,Action Adventure,Survival,M
From,Role-Playing,Action RPG,T
KCEK,Platformer,2D,T
Ubisoft,Modern,Arcade,M
From,Role-Playing,Action RPG,T
Yacht,Platformer,2D,E
Bluepoint,Miscellaneous,General,E
Nintendo,Kart,Automobile,E
Infinity,Historic,Arcade,T
EA,Sim,Sim,E
Camelot,Golf,Arcade,E
Naughty,Platformer,3D,E
Ubisoft,Historic,Open-World,M
Bizarre,Driving,Racing,E
Visual,Sim,Sim,E
Maxis,Virtual,Virtual Life,T
Blizzard,Fantasy,Fantasy,T
Valve,First-Person,Sci-Fi,M
EA,Football,Sim,E
Ubisoft,Platformer,3D,E
PlatinumGames,Fantasy,Linear,M
Blizzard,Role-Playing,Action RPG,M
Blizzard,First-Person,Tactical,T
Ubisoft,Modern,Arcade,M
SCE,Action Adventure,Fantasy,T
Capcom,Role-Playing,Action RPG,T
Ubisoft,Modern,Modern,T
Electronic,Sim,Sim,E
2D,Puzzle,General,E
Alphadream,,,E
Yacht,Platformer,2D,E
Neversoft,Alternative,Skateboarding,T
Capcom,Fighting,2D,T
SCEI,Platformer,3D,E
Eidetic,Third-Person,Modern,T
Alphadream,Action RPG,Japanese-Style,E
Ubisoft,Street,Street,
Rockstar,Modern,Open-World,M
Electronic,Sim,Sim,E
Derek,2D,2D,
EA,Sim,Sim,E
Insomniac,Platformer,3D,T
Electronic,Basketball,Arcade,E
Hitmaker,Traditional,Tennis,E
Lionhead,General,Fantasy,T
Bethesda,First-Person,Western-Style,M
Square,Role-Playing,Japanese-Style,T
Nintendo,Fantasy,Open-World,
Visual,Football,Sim,E
Valve,Sci-Fi,Arcade,T
Enhance,Puzzle,Stacking,E
Nintendo,Fantasy,Open-World,E
EA,Baseball,Sim,E
Vicarious,Alternative,Skateboarding,E
Konami,Rhythm,Dancing,E
EA,Sim,Sim,E
Intelligent,Modern,Tactics,E
Ubisoft,Platformer,2D,
SCEA,Sim,Sim,E
PlatinumGames,Role-Playing,Action RPG,M
Naughty,Platformer,3D,E
Factor,Sci-Fi,Small Spaceship,T
Supergiant,Role-Playing,Action RPG,
Capcom,Role-Playing,Action RPG,T
increpare,Action,General,
FuturLab,Scrolling,Vertical,
Criterion,Racing,Arcade,
Gearbox,Skateboarding,Skateboarding,T
Visual,Basketball,Sim,E
EA,Football,Sim,E
Secret,First-Person,Sci-Fi,M
Ion,Sci-Fi,General,M
Rare,Platformer,3D,E
Smilebit,Shooter,Rail,T
Valve,Sci-Fi,Arcade,T
Valve,Sci-Fi,Arcade,M
Polytron,2D,2D,E
Number,2D,2D,
Starbreeze,Sci-Fi,Arcade,M
Atlus,,,M
Team,Action Adventure,General,
SCEA,Sim,Sim,E
Rare,Action,General,E
Yacht,Platformer,2D,E
EA,Baseball,Sim,E
Neversoft,Alternative,Skateboarding,T
Firaxis,Historic,4X,E
Visual,Football,Sim,E
Yuke,Fighting,Wrestling,T
PLAYDEAD,2D,2D,T
Klei,2D,2D,M
Ubisoft,Marine,Combat,T
PlatinumGames,Action Adventure,Linear,M
Ubisoft,Historic,Open-World,M
Ready,General,Fantasy,T
Team,2D,2D,T
Rockstar,Modern,Open-World,M
Visceral,Sci-Fi,Arcade,M
Nintendo,Real-Time,Fantasy,E
HexaDrive,Action Adventure,General,T
Visual,Basketball,Sim,E
EA,Football,Sim,E
Game,,,T
Bizarre,Static,Top-Down,E
Firaxis,Historic,4X,
Nintendo,3D,3D,E
Nintendo,Arcade,Automobile,E
Lead,Modern Jet,Combat,T
Nixxes,First-Person,Sci-Fi,M
Firaxis,Sci-Fi,General,M
Retro,Sci-Fi,Arcade,T
Capcom,Role-Playing,Action RPG,T
Microsoft,Civilian Plane,Civilian,E
Rare,Platformer,3D,E
Starbreeze,Fantasy,Linear,T
Valve,Real-Time,MOBA,
KCET,Soccer,Sim,E
Free,First-Person,Sci-Fi,T
ArenaNet,Fantasy,Fantasy,T
Turn,Simulation,Automobile,E
Telltale,Adventure,General,M
Intelligent,Puzzle,Action,E
CD,Role-Playing,Action RPG,M
Genki,Compilation,Compilation,M
Clover,,,T
EA,Football,Sim,E
EA,Golf,Sim,E
Irrational,Action RPG,Action RPG,T
Visual,Basketball,Sim,E
Codemasters,Driving,Racing,E
Electronic,Sim,Sim,E
JapanStudio,Action Adventure,General,
Subset,General,Tactics,
PLAYDEAD,2D,2D,T
SimBin,Simulation,Automobile,E
From,Action Adventure,General,M
Visual,Sim,Sim,E
Rockstar,Modern,Open-World,M
Creative,General,Historic,T
Creative,General,Historic,T
Ubisoft,2D,2D,
PlatinumGames,Miscellaneous,Compilation,M
Cardboard,Adventure,General,
DrinkBox,Platformer,2D,
Visual,Sim,Sim,E
Kush,Ice Hockey,Sim,E
Ubisoft,Platformer,3D,E
EA,Football,Sim,E
SquareSoft,,,T
Paradigm,Racing,Arcade,E
Westwood,Sci-Fi,Command,T
CD,Role-Playing,Action RPG,M
Raven,Sci-Fi,Arcade,T
Studio,Futuristic,Futuristic,
Bungie,First-Person,Sci-Fi,M
Gearbox,Sci-Fi,Arcade,M
Atlus,Role-Playing,Japanese-Style,M
Capcom,Action Adventure,Survival,M
Firaxis,Sci-Fi,General,M
Infinity,Historic,Arcade,T
Criterion,Racing,Arcade,
Level,,,T
Nintendo,Platformer,2D,E
GREZZO,Action Adventure,Open-World,
Vicarious,3D,3D,
Telltale,Adventure,Compilation,
EA,Golf,Sim,E
Ensemble,General,Fantasy,T
Nintendo,Real-Time,Fantasy,E
EA,Football,Sim,E
Shiny,General,Fantasy,M
Sonic,Rhythm,Music,E
Psygnosis,Racing,Futuristic,E
PopCap,Fantasy,Defense,
Motion,Platformer,2D,T
From,Role-Playing,Action RPG,M
Capcom,Role-Playing,Action RPG,T
HexaDrive,Rail,Rail,E
EA,Basketball,Arcade,E
